"","(Intercept)","BM","SCL","Locality","Locality:SCL","BM:Locality","Age","Age:Locality","df","logLik","AICc","delta","weight"
"scl",-1.07543050306861,NA,0.0134636570969583,NA,NA,NA,NA,NA,2,-94.3781616228344,192.996323245669,0,0.422922953949423
"bm",0.575548787320175,0.000615879642304605,NA,NA,NA,NA,NA,NA,2,-94.7056621358355,193.651324271671,0.655001026002168,0.304810266958364
"bm_locality",0.531816265807689,0.000460976265042357,NA,"+",NA,NA,NA,NA,4,-93.2779904948648,195.389314323063,2.39299107739402,0.127829134033419
"scl_locality",-0.707550139601478,NA,0.0104153666591921,"+",NA,NA,NA,NA,4,-93.3474149256553,195.528163184644,2.53183993897505,0.119255714744428
"bm_Xlocality",-0.0306012139696553,0.00109966804789788,NA,"+",NA,"+",NA,NA,6,-93.109265867697,200.044618691916,7.0482954462469,0.0124664657257787
"scl_Xlocality",-2.22510751588029,NA,0.0200130653708914,"+","+",NA,NA,NA,6,-93.2021007669544,200.230288490431,7.23396524476166,0.011361238135012
"Age_locality",0.65027623585507,NA,NA,"+",NA,NA,0.0138943245614475,NA,4,-97.9435383341695,204.720410001672,11.7240867560035,0.00120339489601478
"Age_Xlocality",0.263568409702964,NA,NA,"+",NA,NA,0.0327862345610655,"+",6,-97.5325369699463,208.891160896414,15.8948376507455,0.000149534401107466
"Age",0.57440831517028,NA,NA,NA,NA,NA,0.0403106810920231,NA,2,-107.072932397264,218.385864794528,25.3895415488592,1.29715645320077e-06
