"Variable","Q_0.025","Q_0.5","Q_0.975"
2009,6.13363752006642,7.88156675038945,16.811740675152
2010,4.42166235515208,5.25913610127225,7.30257262588881
2011,3.73250771428207,4.88605888209769,7.31082736296884
2012,4.13513740617582,6.17354208412481,10.3470761218022
2013,2.40216779605678,6.46722985202859,19.82971777271
2014,3.18782243111357,5.47849772049144,10.6098322759719
2015,3.76925461671849,7.76984420123886,18.6455328794141
2016,4.87643236582886,5.86981926836122,8.04364606751479
2017,5.14524057545869,5.69009068493894,7.1296651881505
2018,4.01444822410277,5.1792331644261,7.43191590466151
2019,4.36357687810089,5.22642072461712,7.10679655751108
2020,3.40638548856294,5.23491205944867,9.15959795358502
2021,3.53398750923912,4.82271306719417,7.46422435560073
2022,2.4586542714896,4.20511543378236,8.49408767819191
2023,3.84612543961968,5.79080438001385,10.5921179410974
