"","cond((Int))","disp((Int))","cond(BM_scaled)","cond(SCL_scaled)","cond(Locality)","cond(scale(BM))","cond(Locality:SCL_scaled)","cond(BM_scaled:Locality)","cond(Age)","cond(Age:Locality)","df","logLik","AICc","delta","weight"
"com_poisson_bm_Locality",1.22634988425394,"+",NA,NA,"+",0.260287584136798,NA,NA,NA,NA,5,-67.6721162631328,146.620828270946,0,0.494990971955547
"com_poisson_scl_Locality",1.28498768568145,"+",NA,0.285331334966321,"+",NA,NA,NA,NA,NA,5,-68.0969256843245,147.47044711333,0.84961884238345,0.323671820488861
"com_poisson_bm_XLocality",1.66711398305722,"+",0.663561475369474,NA,"+",NA,NA,"+",NA,NA,7,-66.6248092325015,149.738507353892,3.11767908294539,0.104136233815977
"com_poisson_scl_XLocality",1.61961388135291,"+",NA,0.564751779306627,"+",NA,"+",NA,NA,NA,7,-67.2432433155414,150.975375519972,4.35454724902519,0.0561072983490871
"com_poisson_scl",1.49917292064076,"+",NA,0.36622045074031,NA,NA,NA,NA,NA,NA,3,-73.4326912167604,153.355178351888,6.73435008094171,0.0170707160443592
"com_poisson_bm",1.50393014158483,"+",0.34531163702956,NA,NA,NA,NA,NA,NA,NA,3,-74.8780385839086,156.245873086185,9.62504481523811,0.00402295664573854
"com_poisson_Age_Locality",0.651144455065191,"+",NA,NA,"+",NA,NA,NA,0.0138755826437755,NA,5,-86.9146947298504,185.105985204382,38.4851569334352,2.17596363103528e-09
"com_poisson_Age_XLocality",0.259681662942918,"+",NA,NA,"+",NA,NA,NA,0.0329717854302014,"+",7,-85.7313920551734,187.951672999236,41.3308447282891,5.24467255907155e-10
"com_poisson_Age",0.574587310586646,"+",NA,NA,NA,NA,NA,NA,0.0403037302898639,NA,3,-105.211684412604,216.913164743576,70.2923364726292,2.69656164469433e-16
